,MAE,MAPE,MSE,n_neurons,n_layers
0,0.22548223,3.565622,0.2889311,1,1
1,0.22781876,3.7213452,0.29169607,1,2
2,0.22588563,3.5980673,0.28966796,1,3
3,0.2255508,3.575359,0.28896916,1,4
4,0.22435372,3.4296505,0.2874271,2,1
5,0.22579257,3.6024022,0.28969708,2,2
6,0.22797221,3.625689,0.29148597,2,3
7,0.22516923,3.5861979,0.28906098,2,4
8,0.22631344,3.6235378,0.28987265,4,1
9,0.2592667,3.6441603,0.32379022,4,2
10,0.22686361,3.5522325,0.29017898,4,3
11,0.22771662,3.653955,0.29127344,4,4
12,0.2248938,3.538963,0.2884315,8,1
13,0.22626965,3.6483657,0.29044953,8,2
14,0.22606798,3.6399214,0.29019168,8,3
15,0.22831872,3.6769116,0.2919299,8,4
16,0.2258692,3.6091397,0.28949916,16,1
17,0.22466694,3.480636,0.28821182,16,2
18,0.2276979,3.7289622,0.2919237,16,3
19,0.22254935,3.0096834,0.285876,16,4
20,0.22622551,3.6258552,0.28983203,32,1
21,0.19585603,3.2638192,0.2518225,32,2
22,0.21920605,3.0488064,0.2833437,32,3
23,0.22142473,3.3814557,0.28495532,32,4
24,0.18434301,2.045583,0.24440414,64,1
25,0.15630467,1.6588054,0.20718347,64,2
26,0.20006633,3.4445746,0.26172307,64,3
27,0.18825825,2.1627867,0.2433665,64,4
28,0.16201279,1.6687149,0.21045887,128,1
29,0.15264864,1.3156852,0.20468688,128,2
30,0.15166843,1.0992017,0.19958708,128,3
31,0.1562526,2.2278388,0.20950477,128,4
32,0.14060669,1.1863884,0.18968421,256,1
33,0.15161993,1.9363592,0.20258239,256,2
34,0.1411848,1.1143384,0.19108464,256,3
35,0.15265663,1.4062493,0.2031933,256,4
